Filepath,Is unsed,Directives defined,Directives used in,Unused directives
app/directives/focus-watch/focus-watch.js,false,"my-focus-watch","app/directives/widget-container/widget-ds-multiplevalues/widget-ds-multiplevalues.html
app/directives/widget-container/widget-dsv/widget-dsv.html
app/directives/widget-container/widget-keyvalue/widget-keyvalue.html
app/directives/widget-container/widget-keyvalue-encoded/widget-keyvalue-encoded.html
app/directives/widget-container/widget-schema-editor/widget-schema-editor.html",""
app/directives/group-side-panel/group-side-panel-ctrl.js,false,"","",""
app/directives/group-side-panel/group-side-panel.html,false,"","",""
app/directives/group-side-panel/group-side-panel.js,false,"my-side-panel","app/cdap/components/hydrator/components/LeftPanel/LeftPanel.tsx
app/hydrator/templates/create/leftpanel.html",""
app/directives/group-side-panel/group-side-panel.less,false,"","",""
app/directives/infinite-scroll/infinite-scroll.js,false,"infinite-scroll","app/directives/widget-container/widget-schema-editor/widget-schema-editor.html
app/hydrator/main.js
app/tracker/main.js",""
app/directives/macro-widget-toggle/macro-widget-toggle.html,false,"","",""
app/directives/macro-widget-toggle/macro-widget-toggle.js,false,"macro-widget-toggle","app/directives/macro-widget-toggle/macro-widget-toggle.html",""
app/directives/macro-widget-toggle/macro-widget-toggle.less,false,"","",""
app/directives/modified-tooltip/popover.html,false,"","",""
app/directives/modified-tooltip/tooltip.html,false,"","",""
app/directives/modified-tooltip/tooltip.js,false,"","",""
app/directives/my-global-navbar/my-global-navbar.html,false,"","",""
app/directives/my-global-navbar/my-global-navbar.js,false,"my-global-navbar","app/hydrator/main.js
app/tracker/tracker.html",""
app/directives/my-link-button/my-link-button.html,false,"","",""
app/directives/my-link-button/my-link-button.js,false,"my-link-button","app/directives/my-link-button/my-link-button.html
app/hydrator/templates/partial/node-config-modal/popover.html",""
app/directives/my-link-button/my-link-button.less,false,"","",""
app/directives/my-pipeline-configurations/my-batch-pipeline-config/my-batch-pipeline-config-ctrl.js,false,"","",""
app/directives/my-pipeline-configurations/my-batch-pipeline-config/my-batch-pipeline-config.html,false,"","",""
app/directives/my-pipeline-configurations/my-batch-pipeline-config/my-batch-pipeline-config.js,false,"my-batch-pipeline-config","app/directives/my-pipeline-configurations/my-pipeline-configurations-factory.js",""
app/directives/my-pipeline-configurations/my-pipeline-configurations-factory.js,false,"","",""
app/directives/my-pipeline-configurations/my-pipeline-configurations.js,false,"my-pipeline-config","app/directives/my-pipeline-configurations/my-batch-pipeline-config/my-batch-pipeline-config.js
app/directives/my-pipeline-configurations/my-realtime-pipeline-config/my-realtime-pipeline-config.js
app/directives/my-pipeline-configurations/my-sql-pipeline-config/my-sql-pipeline-config.js
app/hydrator/templates/create/toppanel.html",""
app/directives/my-pipeline-configurations/my-pipeline-configurations.less,false,"","",""
app/directives/my-pipeline-configurations/my-realtime-pipeline-config/my-realtime-pipeline-config-ctrl.js,false,"","",""
app/directives/my-pipeline-configurations/my-realtime-pipeline-config/my-realtime-pipeline-config.html,false,"","",""
app/directives/my-pipeline-configurations/my-realtime-pipeline-config/my-realtime-pipeline-config.js,false,"my-realtime-pipeline-config","app/directives/my-pipeline-configurations/my-pipeline-configurations-factory.js",""
app/directives/my-pipeline-configurations/my-sql-pipeline-config/my-sql-pipeline-config-ctrl.js,false,"","",""
app/directives/my-pipeline-configurations/my-sql-pipeline-config/my-sql-pipeline-config.html,false,"","",""
app/directives/my-pipeline-configurations/my-sql-pipeline-config/my-sql-pipeline-config.js,false,"my-sql-pipeline-config","app/directives/my-pipeline-configurations/my-pipeline-configurations-factory.js",""
app/directives/my-pipeline-resource/my-pipeline-client-resource-ctrl.js,false,"","",""
app/directives/my-pipeline-resource/my-pipeline-driver-resource-ctrl.js,false,"","",""
app/directives/my-pipeline-resource/my-pipeline-executor-resource-ctrl.js,false,"","",""
app/directives/my-pipeline-resource/my-pipeline-resource-factory.js,false,"","",""
app/directives/my-pipeline-resource/my-pipeline-resource.html,false,"","",""
app/directives/my-pipeline-resource/my-pipeline-resource.js,false,"my-pipeline-client-resource
my-pipeline-executor-resource
my-pipeline-driver-resource
my-pipeline-resource-factory","app/directives/my-pipeline-resource/my-pipeline-resource-factory.js
app/directives/my-pipeline-configurations/my-batch-pipeline-config/my-batch-pipeline-config.html
app/directives/my-pipeline-configurations/my-realtime-pipeline-config/my-realtime-pipeline-config.html
app/directives/my-pipeline-configurations/my-sql-pipeline-config/my-sql-pipeline-config.html",""
app/directives/my-pipeline-runtime-args/my-pipeline-runtime-args.html,false,"","",""
app/directives/my-pipeline-runtime-args/my-pipeline-runtime-args.js,false,"my-pipeline-runtime-args","app/directives/my-pipeline-configurations/my-batch-pipeline-config/my-batch-pipeline-config.html
app/directives/my-pipeline-configurations/my-realtime-pipeline-config/my-realtime-pipeline-config.html
app/directives/my-pipeline-configurations/my-sql-pipeline-config/my-sql-pipeline-config.html",""
app/directives/my-pipeline-runtime-args/my-pipeline-runtime-args.less,false,"","",""
app/directives/my-pipeline-scheduler/my-pipeline-scheduler.html,false,"","",""
app/directives/my-pipeline-scheduler/my-pipeline-scheduler.js,false,"my-pipeline-scheduler","app/hydrator/templates/create/toppanel.html",""
app/directives/my-pipeline-summary/my-pipeline-summary-ctrl.js,true,"","",""
app/directives/my-pipeline-summary/my-pipeline-summary.html,true,"","",""
app/directives/my-pipeline-summary/my-pipeline-summary.js,true,"my-pipeline-summary","","my-pipeline-summary"
app/directives/my-pipeline-summary/my-pipeline-summary.less,true,"","",""
app/directives/my-popover/my-popover.js,false,"my-popover","app/directives/group-side-panel/group-side-panel.html
app/directives/my-post-run-action-wizard/wizard-select-action-step/wizard-select-action-step.html",""
app/directives/my-popover/my-popover.less,false,"","",""
app/directives/my-post-run-action-wizard/my-post-run-action-wizard-ctrl.js,false,"","",""
app/directives/my-post-run-action-wizard/my-post-run-action-wizard-modal.html,false,"","",""
app/directives/my-post-run-action-wizard/my-post-run-action-wizard-modal.less,false,"","",""
app/directives/my-post-run-action-wizard/my-post-run-action-wizard.html,false,"","",""
app/directives/my-post-run-action-wizard/my-post-run-action-wizard.js,false,"my-post-run-action-wizard","app/directives/my-post-run-actions/my-post-run-actions.html
app/directives/my-post-run-actions/my-post-run-actions.js
app/directives/my-post-run-action-wizard/my-post-run-action-wizard-modal.html
app/directives/my-post-run-action-wizard/wizard-configure-confirm-step/wizard-configure-confirm-step.js
app/directives/my-post-run-action-wizard/wizard-select-action-step/wizard-select-action-step.js",""
app/directives/my-post-run-action-wizard/my-post-run-action-wizard.less,false,"","",""
app/directives/my-post-run-action-wizard/wizard-configure-confirm-step/wizard-configure-confirm-step-ctrl.js,false,"","",""
app/directives/my-post-run-action-wizard/wizard-configure-confirm-step/wizard-configure-confirm-step.html,false,"","",""
app/directives/my-post-run-action-wizard/wizard-configure-confirm-step/wizard-configure-confirm-step.js,false,"wizard-configure-confirm-step","app/directives/my-post-run-action-wizard/my-post-run-action-wizard.html",""
app/directives/my-post-run-action-wizard/wizard-configure-confirm-step/wizard-configure-confirm-step.less,false,"","",""
app/directives/my-post-run-action-wizard/wizard-select-action-step/wizard-select-action-step-ctrl.js,false,"","",""
app/directives/my-post-run-action-wizard/wizard-select-action-step/wizard-select-action-step.html,false,"","",""
app/directives/my-post-run-action-wizard/wizard-select-action-step/wizard-select-action-step.js,false,"wizard-select-action-step","app/directives/my-post-run-action-wizard/my-post-run-action-wizard.html",""
app/directives/my-post-run-action-wizard/wizard-select-action-step/wizard-select-action-step.less,false,"","",""
app/directives/my-post-run-actions/my-post-run-actions.html,false,"","",""
app/directives/my-post-run-actions/my-post-run-actions.js,false,"my-post-run-actions","app/directives/my-pipeline-configurations/my-batch-pipeline-config/my-batch-pipeline-config.html",""
app/directives/my-post-run-actions/my-post-run-actions.less,false,"","",""
app/directives/node-metrics/node-metrics.html,false,"","",""
app/directives/node-metrics/node-metrics.js,false,"my-node-metrics","app/directives/dag-plus/my-dag.html
app/directives/splitter-popover/splitter-popover.html",""
app/directives/node-metrics/node-metrics.less,false,"","",""
app/directives/plugin-functions/functions/get-property-value/get-property-value-modal.html,false,"","",""
app/directives/plugin-functions/functions/get-property-value/get-property-value.html,false,"","",""
app/directives/plugin-functions/functions/get-property-value/get-property-value.js,false,"get-property-value","app/directives/plugin-functions/plugin-functions-factory.js",""
app/directives/plugin-functions/functions/get-property-value/get-property-value.less,false,"","",""
app/directives/plugin-functions/functions/get-schema/get-schema-modal.html,false,"","",""
app/directives/plugin-functions/functions/get-schema/get-schema.html,false,"","",""
app/directives/plugin-functions/functions/get-schema/get-schema.js,false,"get-schema","app/cdap/api/dataprep.js
app/cdap/components/AbstractWidget/SchemaEditor/Context/SchemaManager.ts
app/cdap/components/AbstractWidget/SchemaEditor/Context/__tests__/SchemaManager.tests.ts
app/cdap/components/AbstractWidget/SchemaEditor/index.tsx
app/cdap/components/DataPrep/TopPanel/SchemaModal.js
app/cdap/components/Metadata/ComplexSchema/helper.ts
app/cdap/components/Metadata/ComplexSchema/index.tsx
app/directives/plugin-functions/functions/get-property-value/get-property-value.js
app/directives/plugin-functions/plugin-functions-factory.js
app/directives/widget-container/widget-complex-schema-editor/widget-complex-schema-editor.js
app/hydrator/services/hydrator-node-service.js
app/cdap/components/AbstractWidget/AbstractWidgetFactory.tsx
app/cdap/components/AbstractWidget/GetSchemaWidget/index.tsx
app/cdap/components/AbstractWidget/__mocks__/AbstractWidgetFactory.tsx
app/cdap/components/shared/ConfigurationGroup/utilities/index.ts
app/cdap/services/__tests__/helpers.test.js
app/directives/plugin-functions/functions/output-schema/output-schema-modal.html
app/directives/widget-container/widget-complex-schema-editor/widget-complex-schema-editor.html
app/directives/widget-container/widget-schema-editor/widget-schema-editor.js",""
app/directives/plugin-functions/functions/get-schema/get-schema.less,false,"","",""
app/directives/plugin-functions/functions/output-schema/output-schema-modal.html,false,"","",""
app/directives/plugin-functions/functions/output-schema/output-schema.html,false,"","",""
app/directives/plugin-functions/functions/output-schema/output-schema.js,false,"output-schema","app/cdap/components/PreviewData/utilities.ts
app/cdap/components/shared/ConfigurationGroup/__tests__/configuration-group-utilities.test.ts
app/cdap/components/shared/ConfigurationGroup/utilities/index.ts
app/cdap/services/HydratorPluginConfigFactory.js
app/directives/dag-plus/my-dag-ctrl.js
app/directives/dag-plus/my-dag.html
app/directives/plugin-functions/plugin-functions-factory.js
app/directives/plugin-templates/plugin-templates-ctrl.js
app/directives/plugin-templates/plugin-templates.html
app/directives/validators/validator-ctrl.js
app/directives/validators/validators.js
app/directives/widget-container/widget-complex-schema-editor/widget-complex-schema-editor.js
app/directives/widget-container/widget-output-schema/widget-output-schema-ctrl.js
app/directives/widget-container/widget-output-schema/widget-output-schema.html
app/hydrator/controllers/create/leftpanel-ctrl.js
app/hydrator/controllers/create/partials/nodeconfig-ctrl.js
app/hydrator/services/create/stores/config-store.js
app/hydrator/services/hydrator-node-service.js
app/hydrator/services/hydrator-service.js
app/hydrator/services/plugin-config-factory.js
app/hydrator/templates/partial/node-config-modal/node-config/plugin-edit-config-form.html
app/hydrator/templates/partial/node-config-modal/node-config/plugin-edit-output-schema.html
app/hydrator/templates/partial/node-config-modal/node-config/plugin-edit-validator-transform.html
app/directives/widget-container/widget-output-schema/widget-output-schema.js
app/directives/widget-container/widget-schema-editor/widget-schema-editor.html
app/hydrator/templates/partial/node-config-modal/node-config/plugin-edit-input-schema.html",""
app/directives/plugin-functions/functions/output-schema/output-schema.less,false,"","",""
app/directives/plugin-functions/plugin-functions-factory.js,false,"","",""
app/directives/plugin-functions/plugin-functions.js,false,"plugin-functions","app/directives/plugin-functions/functions/get-property-value/get-property-value.js
app/directives/plugin-functions/functions/get-schema/get-schema.js
app/directives/plugin-functions/functions/output-schema/output-schema.js",""
app/directives/plugin-templates/plugin-templates-ctrl.js,false,"","",""
app/directives/plugin-templates/plugin-templates.html,false,"","",""
app/directives/plugin-templates/plugin-templates.js,false,"plugin-templates","app/directives/plugin-templates/plugin-templates-ctrl.js
app/directives/plugin-templates/services/plugin-templates-action.js
app/hydrator/controllers/create/popovers/plugin-templates-delete-ctrl.js
app/hydrator/services/create/actions/available-plugins-action-creator.js
app/hydrator/services/create/actions/leftpanel-action-creator.js
app/cdap/components/hydrator/reducers/leftPanelStore.ts
app/hydrator/controllers/create/leftpanel-ctrl.js
app/hydrator/services/create/stores/left-panel-store.js
app/hydrator/templates/create/popovers/plugin-templates.html",""
app/directives/plugin-templates/plugin-templates.less,false,"","",""
app/directives/plugin-templates/services/plugin-template-store.js,false,"","",""
app/directives/plugin-templates/services/plugin-templates-action.js,false,"","",""
app/directives/plugin-templates/services/plugin-templates-dispatcher.js,false,"","",""
